point,elevation
1,7.603450298309326
2,9.863069534301758
3,17.41611480712891
4,45.66471862792969
5,172.3739776611328
6,180.7027587890625
7,186.0230712890625
8,201.0509948730469
9,101.7036895751953
10,216.2512969970703
11,221.1976776123047
12,246.4143676757812
13,193.6232757568359
14,124.9683532714844
15,81.80845642089844
16,41.33784103393555
17,37.34202575683594
18,195.0448150634766
19,229.9522247314453
20,227.4603424072266
21,236.4880828857422
22,266.6773376464844
23,316.6267395019531
24,445.4483947753906
25,517.3501586914062
26,384.3511657714844
27,386.4694213867188
28,400.3766174316406
29,542.5582275390625
30,669.215087890625
31,660.1758422851562
32,694.6005249023438
33,729.4734497070312
34,820.64794921875
35,933.9908447265625
36,1015.158935546875
37,990.0263671875
38,1053.271362304688
39,1037.395141601562
40,1016.936401367188
41,991.503662109375
42,1012.714294433594
43,991.010986328125
44,979.4943237304688
45,1012.160766601562
46,974.3167114257812
47,1082.498291015625
48,1042.326416015625
49,1047.927490234375
50,1014.452514648438
51,1036.95068359375
52,1099.290649414062
53,1140.4189453125
54,1249.648681640625
55,1421.477905273438
56,1661.254150390625
57,1681.809814453125
58,1637.82470703125
59,1582.202270507812
60,1499.630981445312
61,1448.471069335938
62,1388.670532226562
63,1350.352172851562
64,1368.926635742188
65,1446.798828125
66,1507.592163085938
67,1268.621826171875
68,1072.37353515625
69,1020.451232910156
70,815.1819458007812
71,734.073486328125
72,752.9143676757812
73,723.0057983398438
74,962.9492797851562
75,1233.23193359375
76,1368.770385742188
77,1210.61572265625
78,963.0350341796875
79,859.9177856445312
80,695.4485473632812
81,774.2111206054688
82,927.1346435546875
83,1099.680419921875
84,962.9041137695312
85,807.5855712890625
86,780.100341796875
87,847.6535034179688
88,975.8126220703125
89,1063.854858398438
90,1163.47412109375
91,1238.1650390625
92,1091.437377929688
93,940.8991088867188
94,965.1984252929688
95,1057.650390625
96,1166.746948242188
97,1289.055541992188
98,1318.458374023438
99,1227.5458984375
100,1117.033325195312
101,1051.243896484375
102,1020.204772949219
103,1054.779418945312
104,961.1005859375
105,957.0460815429688
106,1007.388977050781
107,1032.682250976562
108,997.3443603515625
109,931.0086059570312
110,1014.140991210938
111,988.7518920898438
112,965.3604125976562
113,1100.099243164062
114,1046.1181640625
115,912.4246826171875
116,949.5969848632812
117,1086.42236328125
118,1243.075927734375
119,1448.868774414062
120,1634.41015625
121,1729.992919921875
122,1694.280029296875
123,1458.630615234375
124,1285.082641601562
125,1375.470336914062
126,1434.657104492188
127,1500.687622070312
128,1609.996215820312
129,1696.346435546875
130,1669.052368164062
131,1493.217895507812
132,1402.186157226562
133,1229.191040039062
134,1087.205078125
135,994.79638671875
136,897.680908203125
137,910.3232421875
138,908.2545166015625
139,918.4597778320312
140,1104.766235351562
141,1272.594482421875
142,1267.425903320312
143,1229.458129882812
144,1359.186645507812
145,1557.529907226562
146,1421.57177734375
147,1206.002807617188
148,1096.248291015625
149,1050.107788085938
150,1085.723022460938
151,1244.961181640625
152,1294.097045898438
153,1176.2685546875
154,1117.151611328125
155,1036.771484375
156,964.6602783203125
157,937.56982421875
158,1131.66796875
159,1068.343994140625
160,947.9500122070312
161,855.35302734375
162,840.3594970703125
163,897.4775390625
164,936.1012573242188
165,995.3131713867188
166,903.0016479492188
167,980.6328735351562
168,1133.216430664062
169,1234.481323242188
170,1169.753051757812
171,1299.358276367188
172,1509.782104492188
173,1384.782470703125
174,1176.4970703125
175,1034.760864257812
176,944.6084594726562
177,899.8316040039062
178,824.4805297851562
179,813.8688354492188
180,749.333740234375
181,736.982421875
182,837.9244995117188
183,1014.304443359375
184,1026.956176757812
185,885.1485595703125
186,1045.616943359375
187,978.3961181640625
188,877.1707153320312
189,721.2203369140625
190,629.2950439453125
191,578.4271240234375
192,582.0277099609375
193,594.8018798828125
194,603.1939697265625
195,618.077880859375
196,641.5692749023438
197,652.6744384765625
198,694.5311889648438
199,645.7949829101562
200,651.2896728515625
201,688.3980712890625
202,713.262939453125
203,774.9818115234375
204,808.21240234375
205,891.1429443359375
206,825.7933349609375
207,674.3692016601562
208,666.4895629882812
209,730.70556640625
210,845.448974609375
211,860.9928588867188
212,893.4280395507812
213,875.7189331054688
214,947.1815185546875
215,982.8550415039062
216,1028.370727539062
217,1102.29931640625
218,1099.099487304688
219,1121.4130859375
220,1086.751831054688
221,890.861328125
222,881.1682739257812
223,739.78564453125
224,690.9506225585938
225,623.2810668945312
226,530.3197631835938
227,514.3193969726562
228,660.7201538085938
229,574.9642333984375
230,517.4170532226562
231,503.7994079589844
232,550.3256225585938
233,576.4061279296875
234,535.9370727539062
235,534.2338256835938
236,545.8328857421875
237,625.42333984375
238,618.549072265625
239,464.6760864257812
240,485.1054382324219
241,543.125244140625
242,558.820556640625
243,577.5326538085938
244,622.5042114257812
245,693.320556640625
246,765.607177734375
247,727.9019165039062
248,659.81640625
249,610.4119873046875
250,530.6297607421875
