point,elevation
1,71.66119384765625
2,82.89368438720703
3,122.5509948730469
4,133.1931762695312
5,101.7981948852539
6,146.5725402832031
7,159.0602722167969
8,200.1753845214844
9,273.8601379394531
10,297.0125122070312
11,240.609130859375
12,197.4764404296875
13,259.0541687011719
14,208.4933166503906
15,158.0119323730469
16,138.2429962158203
17,194.4878234863281
18,175.9850616455078
19,172.0894775390625
20,246.955810546875
21,313.7006225585938
22,293.4078063964844
23,215.0420532226562
24,186.2573547363281
25,195.0247955322266
26,209.3529815673828
27,236.5633392333984
28,225.3680877685547
29,307.7342834472656
30,336.1361389160156
31,466.9029235839844
32,403.539306640625
33,370.63134765625
34,395.7198486328125
35,370.1634826660156
36,385.3122253417969
37,396.5146484375
38,370.8182067871094
39,357.6715393066406
40,380.4573669433594
41,313.330078125
42,309.6876525878906
43,357.6448059082031
44,282.9810180664062
45,287.2159729003906
46,267.7472839355469
47,329.0339050292969
48,212.1047210693359
49,270.8448486328125
50,243.3326263427734
51,347.1620788574219
52,323.7005920410156
53,306.1738586425781
54,172.6188507080078
55,149.2325286865234
56,265.8403625488281
57,285.1719970703125
58,233.6292419433594
59,235.9523620605469
60,160.1658630371094
61,194.3405456542969
62,178.2752685546875
63,203.5693664550781
64,229.3399963378906
65,316.6609497070312
66,237.3832244873047
67,222.5617523193359
68,202.9409790039062
69,189.8696441650391
70,166.5616912841797
71,140.5952606201172
72,135.1945953369141
73,190.0418701171875
74,180.6529693603516
75,109.6501617431641
76,92.01922607421875
77,108.6931838989258
78,173.4248809814453
79,294.1323852539062
80,267.9837036132812
81,138.8358459472656
82,208.337890625
83,322.1954345703125
84,262.9468078613281
85,196.0174102783203
86,163.7214813232422
87,161.2695465087891
88,180.9266662597656
89,143.4641723632812
90,141.8416442871094
91,136.5799560546875
92,133.8868103027344
93,144.0833435058594
94,137.9703521728516
95,139.8316497802734
96,118.4284820556641
97,128.0789184570312
98,119.8815383911133
99,121.4602813720703
100,128.9837646484375
101,127.0639953613281
102,119.1880493164062
103,121.8157730102539
104,121.8996505737305
105,129.7666625976562
106,131.1674957275391
107,131.1603698730469
108,129.6132507324219
109,134.2219543457031
110,138.3793487548828
111,143.4769744873047
112,153.3954162597656
113,165.1073608398438
114,212.6786651611328
115,226.7188110351562
116,267.4691162109375
117,229.0023803710938
118,270.8135070800781
119,271.0430603027344
120,277.3995971679688
121,303.79736328125
122,312.7754211425781
123,321.4233093261719
124,357.0354919433594
125,255.6918182373047
126,272.8863525390625
127,256.0839233398438
128,232.6474151611328
129,213.6643676757812
130,243.4206237792969
131,284.4541320800781
132,275.5917053222656
133,341.9528198242188
134,357.5725708007812
135,275.5466613769531
136,305.9129638671875
137,367.2166748046875
138,409.5490417480469
139,398.724365234375
140,394.9667358398438
141,209.7462463378906
142,212.4611511230469
143,282.4015502929688
144,289.6383972167969
145,226.7119598388672
146,231.8285980224609
147,236.9589385986328
148,336.5847473144531
149,315.3150939941406
150,349.2910766601562
151,434.4837036132812
152,394.2135314941406
153,328.5234680175781
154,368.9230041503906
155,408.0394592285156
156,454.3915710449219
157,473.3898620605469
158,574.158203125
159,564.2576293945312
160,425.7108764648438
161,389.6962890625
162,405.0650329589844
163,372.8492736816406
164,501.0723266601562
165,588.9878540039062
166,694.8115844726562
167,685.2796020507812
168,606.6952514648438
169,486.8884887695312
170,469.9187316894531
171,518.8946533203125
172,571.33251953125
173,424.36181640625
174,355.8944702148438
175,370.9729614257812
176,314.0828857421875
177,312.4173583984375
178,358.2981567382812
179,378.4129638671875
180,474.2745971679688
181,474.2753295898438
182,434.2709350585938
183,392.2176818847656
184,435.0828247070312
185,472.3652954101562
186,542.0567626953125
187,638.751953125
188,838.1553955078125
189,846.1214599609375
190,763.3236694335938
191,567.2643432617188
192,553.1823120117188
193,585.11572265625
194,601.9766845703125
195,625.048095703125
196,429.8789672851562
197,354.9466552734375
198,517.8199462890625
199,618.6060180664062
200,513.8912353515625
201,493.1576232910156
202,468.400634765625
203,394.386474609375
204,523.6244506835938
205,589.9923095703125
206,610.3528442382812
207,659.3571166992188
208,547.4915771484375
209,520.6648559570312
210,496.5587158203125
211,380.6015625
212,470.615234375
213,489.4306030273438
214,369.138427734375
215,385.1949157714844
216,452.3187561035156
217,412.90869140625
218,522.4656372070312
219,592.7830200195312
220,556.6512451171875
221,592.3134765625
222,742.7471923828125
223,889.9052124023438
224,746.2822875976562
225,680.6239624023438
226,570.9655151367188
227,519.8142700195312
228,460.278564453125
229,534.1715087890625
230,647.1261596679688
231,738.8353881835938
232,771.618408203125
233,931.9497680664062
234,995.26513671875
235,1082.711669921875
236,1045.69873046875
237,1124.099853515625
238,1178.101318359375
239,1111.7373046875
240,1028.427978515625
241,1045.563232421875
242,972.3858642578125
243,1076.755004882812
244,1111.600830078125
245,1249.327758789062
246,1266.952270507812
247,1380.130004882812
248,1411.718139648438
249,1496.328247070312
250,1547.968627929688
