point,elevation
1,71.66119384765625
2,76.50403594970703
3,82.80308532714844
4,126.4320755004883
5,122.4748764038086
6,133.5789489746094
7,133.289306640625
8,109.8287811279297
9,101.7238006591797
10,135.3828735351562
11,146.6293334960938
12,138.491943359375
13,158.8009948730469
14,190.8856811523438
15,199.0028228759766
16,246.2865295410156
17,272.1873168945312
18,292.0896301269531
19,297.7701416015625
20,275.4076538085938
21,241.4130096435547
22,217.2407836914062
23,195.5063781738281
24,224.5792541503906
25,257.0282592773438
26,263.0382995605469
27,209.3056488037109
28,176.8022155761719
29,158.5505065917969
30,148.4237213134766
31,138.4984130859375
32,144.5708312988281
33,192.203857421875
34,213.3376922607422
35,178.7630767822266
36,150.05908203125
37,170.0531005859375
38,193.5227508544922
39,241.3147735595703
40,282.4945373535156
41,311.794921875
42,291.142578125
43,291.0427551269531
44,263.1022644042969
45,217.1168670654297
46,196.6011657714844
47,186.1586456298828
48,188.7694244384766
49,193.5864715576172
50,200.4977264404297
51,208.6539154052734
52,220.462158203125
53,234.2924041748047
54,247.8766021728516
55,224.2170104980469
56,251.8195648193359
57,303.5285339355469
58,349.3077697753906
59,336.1688842773438
60,352.9545593261719
61,466.3265686035156
62,428.1001892089844
63,397.158203125
64,362.7350769042969
65,365.5294494628906
66,386.6367797851562
67,383.4024658203125
68,433.5554504394531
69,381.2333374023438
70,321.7482604980469
71,382.6172790527344
72,320.4675903320312
73,385.0174865722656
74,399.4209594726562
75,370.3037414550781
76,307.9455261230469
77,348.2136535644531
78,364.3204040527344
79,383.3837585449219
80,337.3556518554688
81,325.0144958496094
82,308.0595397949219
83,294.1487731933594
84,316.0127258300781
85,359.9121398925781
86,301.1990356445312
87,268.8432922363281
88,343.0569458007812
89,296.5690002441406
90,262.1891784667969
91,262.9369506835938
92,285.8741760253906
93,328.0939636230469
94,291.2992858886719
95,223.2966766357422
96,205.0093536376953
97,255.0055084228516
98,331.1591186523438
99,251.9183959960938
100,313.8412475585938
101,349.0778503417969
102,350.8673095703125
103,329.2689514160156
104,313.515869140625
105,309.7234497070312
106,273.7396240234375
107,190.7827911376953
108,155.6414031982422
109,149.0036010742188
110,222.1664581298828
111,268.2760314941406
112,273.1679382324219
113,287.0376281738281
114,273.4644470214844
115,243.8495941162109
116,251.7652740478516
117,247.0334930419922
118,210.1303863525391
119,171.0859832763672
120,154.0038604736328
121,197.7129058837891
122,169.5612640380859
123,177.6746673583984
124,184.1289367675781
125,199.0432434082031
126,215.1545562744141
127,234.8417816162109
128,262.95263671875
129,314.5127258300781
130,287.6226196289062
131,252.2698364257812
132,226.2922668457031
133,223.2790222167969
134,208.6526031494141
135,206.4408721923828
136,199.2856140136719
137,190.5875244140625
138,188.5114898681641
139,177.9651641845703
140,188.2451934814453
141,146.8494110107422
142,156.605224609375
143,134.8362731933594
144,173.8637237548828
145,170.5288543701172
146,190.4693298339844
147,186.8260650634766
148,195.9355316162109
149,131.5248107910156
150,95.07486724853516
151,93.10646057128906
152,91.30045318603516
153,95.35674285888672
154,143.7106170654297
155,159.9029541015625
156,204.5648193359375
157,263.1024169921875
158,336.1086730957031
159,285.2060546875
160,222.7419281005859
161,157.5466766357422
162,158.97314453125
163,187.0072326660156
164,239.6741485595703
165,301.70947265625
166,303.4609985351562
167,279.5089111328125
168,216.9768981933594
169,188.4226684570312
170,178.1470184326172
171,179.0085601806641
172,154.3642272949219
173,157.072021484375
174,162.3321075439453
175,177.7828979492188
176,144.6117553710938
177,144.5860137939453
178,145.1637420654297
179,143.5228881835938
180,140.9110107421875
181,138.7122650146484
182,134.6588439941406
183,134.3282928466797
184,133.0535583496094
185,137.1081390380859
186,140.4997406005859
187,137.9833831787109
188,139.7077484130859
189,138.4167938232422
190,138.9674377441406
191,118.8303604125977
192,124.425651550293
193,135.8829345703125
194,123.0267486572266
195,120.7504653930664
196,123.9219818115234
197,123.4436645507812
198,122.6558990478516
199,125.9313278198242
200,131.8400115966797
201,132.9686126708984
202,121.0448303222656
203,119.4710693359375
204,119.0033798217773
205,120.2173004150391
206,120.739875793457
207,121.6220932006836
208,123.0342636108398
209,127.430419921875
210,132.8415985107422
211,130.4385833740234
212,129.6761932373047
213,130.8826751708984
214,133.8460540771484
215,128.2172393798828
216,129.4891052246094
217,132.5365753173828
218,136.0266723632812
219,136.5556640625
220,141.1101531982422
