point,elevation
1,317.8739318847656
2,376.5992126464844
3,461.7673950195312
4,490.0787353515625
5,509.609619140625
6,565.1625366210938
7,578.15869140625
8,533.7709350585938
9,445.9271850585938
10,394.3450012207031
11,568.1201782226562
12,633.1531372070312
13,739.9295043945312
14,638.2525634765625
15,548.482177734375
16,747.2866821289062
17,630.7457885742188
18,477.9194030761719
19,462.5033264160156
20,450.4625854492188
21,422.0076599121094
22,418.4207763671875
23,348.6044006347656
24,341.9450378417969
25,348.692626953125
26,265.1768798828125
27,194.1101531982422
28,190.0003967285156
29,184.3766479492188
30,184.5245208740234
31,184.6651153564453
32,181.1354064941406
33,250.3320159912109
34,425.2980041503906
35,840.3890380859375
36,1014.605529785156
37,1150.73388671875
38,1398.07861328125
39,1167.64306640625
40,1018.836669921875
41,1016.709899902344
42,1100.824462890625
43,1000.323669433594
44,1013.041198730469
45,979.6803588867188
46,1160.841552734375
47,1215.611328125
48,1176.232055664062
49,984.394287109375
50,1028.0234375
