point,elevation
1,7.603450298309326
2,186.3459320068359
3,193.0309906005859
4,40.72297668457031
5,242.1901702880859
6,340.0072021484375
7,668.2265625
8,898.6554565429688
9,1012.9658203125
10,1035.804931640625
11,1096.617065429688
12,1684.012329101562
13,1389.717407226562
14,1248.217651367188
15,734.77294921875
16,1132.3349609375
17,979.1162719726562
18,901.2305297851562
19,986.6640625
20,1322.851196289062
21,1044.545532226562
22,992.4677734375
23,1067.946166992188
24,1235.086059570312
25,1467.285766601562
26,1614.196044921875
27,1204.065185546875
28,903.409423828125
29,1246.743286132812
30,1063.388671875
31,1150.240478515625
32,1164.271118164062
33,901.0181274414062
34,1214.615844726562
35,1211.77685546875
36,823.0643310546875
37,1023.856811523438
38,718.0703125
39,602.4923706054688
40,646.4843139648438
41,827.9525756835938
42,781.0027465820312
43,922.2282104492188
44,1169.614379882812
45,684.2084350585938
46,522.3399658203125
47,533.4254760742188
48,485.3255004882812
49,683.579345703125
50,530.6297607421875
