point,elevation
1,317.8739318847656
2,318.1268310546875
3,318.3499450683594
4,355.2314758300781
5,381.0412902832031
6,377.0934448242188
7,374.2194213867188
8,381.255859375
9,397.9768676757812
10,449.8941650390625
11,463.1361389160156
12,459.3927612304688
13,465.1990051269531
14,466.05224609375
15,486.0656433105469
16,487.8777160644531
17,482.0470581054688
18,496.2683410644531
19,511.6678161621094
20,525.0227661132812
21,506.6556091308594
22,530.34814453125
23,535.6395263671875
24,527.346435546875
25,551.0892333984375
26,561.877197265625
27,565.4447631835938
28,573.4037475585938
29,575.402587890625
30,583.585693359375
31,576.7304077148438
32,580.6542358398438
33,576.7633666992188
34,572.4013671875
35,566.013916015625
36,543.9412231445312
37,529.50439453125
38,505.9192199707031
39,484.2206420898438
40,489.1521301269531
41,474.884033203125
42,426.1534729003906
43,398.8892822265625
44,387.0534362792969
45,387.731689453125
46,391.5108642578125
47,399.3138427734375
48,417.4842834472656
49,454.3980102539062
50,487.1995239257812
51,537.1099853515625
52,570.6656494140625
53,538.2550048828125
54,580.7860107421875
55,561.0778198242188
56,600.6934814453125
57,636.243896484375
58,628.377197265625
59,662.5385131835938
60,698.2967529296875
61,731.7990112304688
62,739.3187866210938
63,668.3037719726562
64,655.9681396484375
65,632.3142700195312
66,614.1235961914062
67,637.1576538085938
68,578.2905883789062
69,569.7222290039062
70,562.7242431640625
71,557.9012451171875
72,549.4879150390625
73,551.73583984375
74,562.2068481445312
75,643.5450439453125
76,678.8226318359375
77,743.2728271484375
78,709.4653930664062
79,706.0346069335938
80,683.795166015625
81,661.2980346679688
82,639.7486572265625
83,591.6240844726562
84,485.2734375
85,483.8260192871094
86,482.1846618652344
87,479.0543212890625
88,477.1251525878906
89,474.779052734375
90,475.140380859375
91,465.7914428710938
92,464.8357238769531
93,461.5095520019531
94,463.4178771972656
95,461.606201171875
96,461.059814453125
97,458.0487365722656
98,437.612548828125
99,444.5681457519531
100,445.5082702636719
101,443.3216552734375
102,425.8486328125
103,421.2332458496094
104,437.5051879882812
105,415.2375793457031
106,426.0928344726562
107,417.95361328125
108,409.8713989257812
109,412.4957580566406
110,401.2188415527344
111,385.1169128417969
112,356.0775756835938
113,345.4673461914062
114,334.3169555664062
115,314.3731384277344
116,316.3774719238281
117,342.7839660644531
118,343.609130859375
119,358.1669921875
120,389.3412475585938
121,366.9153747558594
122,352.3917846679688
123,344.9547729492188
124,326.3463134765625
125,334.8894653320312
126,363.2804870605469
127,322.7996520996094
128,267.2328491210938
129,217.6787109375
130,206.2365570068359
131,204.0240325927734
132,200.0878601074219
133,194.6148376464844
134,191.6846466064453
135,189.8826751708984
136,188.6947784423828
137,189.8227996826172
138,190.0951995849609
139,189.8118286132812
140,186.8332977294922
141,185.2185974121094
142,187.9962615966797
143,185.4001007080078
144,184.0
145,183.0
146,183.0
147,183.4005432128906
148,184.7586059570312
149,183.0966491699219
150,183.4841766357422
151,182.1519317626953
152,182.1906890869141
153,184.0
154,184.0
155,184.8238983154297
156,184.1252899169922
157,186.4057769775391
158,183.2410125732422
159,182.0
160,183.6710968017578
161,183.0783386230469
162,191.9468536376953
163,217.2703552246094
164,272.3918762207031
165,323.1445922851562
166,324.5088500976562
167,316.9596252441406
168,337.64404296875
169,467.967041015625
170,568.3486938476562
171,563.6757202148438
172,592.1275024414062
173,729.4115600585938
174,863.5308227539062
175,923.9337158203125
176,914.3834228515625
177,922.7844848632812
178,975.26171875
179,1027.660278320312
180,1147.65283203125
181,1200.138305664062
182,1161.718383789062
183,1160.4345703125
184,1152.278686523438
185,1183.30908203125
186,1217.814697265625
187,1270.632202148438
188,1300.466064453125
189,1395.204223632812
190,1487.646240234375
191,1436.725219726562
192,1355.372436523438
193,1254.212524414062
194,1173.804931640625
195,1111.578247070312
196,1076.99609375
197,1033.746337890625
198,1024.598388671875
199,1018.909912109375
200,1018.072814941406
201,1018.958374023438
202,1016.421813964844
203,1010.308898925781
204,1015.716003417969
205,1021.661376953125
206,1037.212768554688
207,1070.532470703125
208,1118.725341796875
209,1111.997192382812
210,1092.3583984375
211,1104.748168945312
212,1084.19970703125
213,1041.03271484375
214,1005.720275878906
215,995.0552368164062
216,1017.377258300781
217,1043.089233398438
218,1064.342529296875
219,1034.85791015625
220,1004.655700683594
221,985.548828125
222,983.2392578125
223,983.3599243164062
224,977.6229858398438
225,986.234619140625
226,1005.305541992188
227,1065.570922851562
228,1102.825927734375
229,1142.413696289062
230,1161.474975585938
231,1177.0576171875
232,1215.17431640625
233,1232.563598632812
234,1225.89208984375
235,1217.952880859375
236,1219.3203125
237,1222.875732421875
238,1203.941772460938
239,1186.396362304688
240,1170.522705078125
241,1126.949584960938
242,1086.064453125
243,1042.902954101562
244,1017.05126953125
245,981.5626220703125
246,967.958740234375
247,972.4550170898438
248,988.5773315429688
249,1014.35791015625
250,1028.0234375
